# reps=1000, dist name=normal, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown
16  	   7873   387	   8031   383
24  	  14398   466	  14998   441
32  	  21097   502	  22270   459
48  	  36290   602	  38374   559
64  	  52026   659	  54971   593
96  	  86858   848	  91366   770
128 	 122679   933	 128596   848
192 	 201447  1118	 209846  1061
256 	 282166  1319	 292915  1175
384 	 457718  1617	 472434  1584
512 	 637487  1911	 655780  1737
768 	1025005  2181	1049392  2139
1024	1421216  2518	1450381  2430
