# reps=1000, dist name=reverse, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   8039    11	   8153    13	   8176    12
24  	  13529    16	  13775    17	  13993    16
32  	  19747    23	  21201    20	  21421    20
48  	  33379    24	  35749    28	  36389    27
64  	  48567    32	  51198    31	  52919    31
96  	  80880    38	  84582    40	  87913    43
128 	 115078    46	 120247    49	 125618    50
192 	 188574    58	 196693    60	 205993    62
256 	 266382    70	 276561    73	 290568    77
384 	 430212    89	 444637    93	 469205    94
512 	 603333   106	 625579   112	 659180   110
768 	 967320   134	 996190   142	1057173   146
1024	1349813   164	1389501   166	1475957   166
