# reps=1000, dist name=sorted, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   8392    12	   8361    12	   8403    13
24  	  15160    18	  15676    17	  15962    15
32  	  21925    18	  22995    18	  23625    20
48  	  38213    26	  39645    26	  41078    24
64  	  54303    29	  56162    30	  58555    30
96  	  91418    37	  94191    40	  98301    40
128 	 127760    45	 131637    46	 137833    48
192 	 211640    60	 216686    58	 228912    61
256 	 293762    71	 300375    69	 319131    72
384 	 480506    88	 488916    88	 520109    90
512 	 665549   101	 673850   103	 720773   106
768 	1076536   135	1085999   124	1162106   134
1024	1481704   153	1490849   150	1600297   169
