# reps=1000, dist name=uniform, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   8405   305	   8418   308	   8434   307
24  	  14837   382	  15370   377	  15503   375
32  	  21550   421	  22551   396	  22869   394
48  	  36622   546	  38447   520	  39266   520
64  	  52228   615	  54818   584	  56306   578
96  	  86936   803	  90969   753	  93991   736
128 	 122739   859	 127992   803	 132946   778
192 	 201365  1114	 208818  1064	 218087  1029
256 	 282095  1249	 291476  1184	 305815  1116
384 	 457544  1564	 470380  1580	 495647  1430
512 	 637258  1839	 652763  1761	 690646  1669
768 	1024916  2190	1045062  2157	1109801  2002
1024	1421087  2457	1444716  2381	1539421  2201
