# reps=1000, dist name=almost, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	  10166   325	  10230   312	  10268   312
24  	  18337   367	  18324   356	  18939   345
32  	  26471   414	  26380   376	  27684   351
48  	  46227   448	  45058   426	  48059   410
64  	  65746   499	  63437   480	  68357   456
96  	 111269   610	 105764   575	 114925   538
128 	 156106   683	 147459   635	 161342   590
192 	 259143   795	 242451   777	 266806   718
256 	 360701   825	 335965   791	 371883   701
384 	 591762  1069	 546075  1075	 606768   915
512 	 820226  1195	 752985  1190	 840727  1020
768 	1331556  1412	1212518  1384	1358448  1170
1024	1836471  1486	1665633  1433	1873605  1270
