# reps=1000, dist name=normal, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   9372   474	   9470   461	   9504   460
24  	  17115   582	  17219   523	  17762   512
32  	  25325   622	  25323   541	  26474   519
48  	  43916   748	  43268   648	  45863   642
64  	  63283   806	  61779   683	  66060   678
96  	 106239  1031	 102363   875	 110392   848
128 	 150462  1169	 143912   966	 156173   960
192 	 248118  1374	 234561  1208	 256244  1152
256 	 348355  1633	 327340  1337	 359355  1320
384 	 566931  1994	 527750  1787	 582408  1654
512 	 790970  2364	 732621  1961	 811744  1898
768 	1275026  2767	1172256  2423	1304150  2246
1024	1770346  3147	1620481  2733	1809211  2545
