# reps=1000, dist name=reverse, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown
16  	   9748    13	  10102    13
24  	  16947    16	  16338    15
32  	  24381    18	  24779    19
48  	  41440    23	  41154    24
64  	  59982    30	  58499    29
96  	  99835    38	  96086    39
128 	 142413    48	 136098    45
192 	 233760    62	 222301    60
256 	 331525    69	 312111    69
384 	 536504    90	 501275    85
512 	 752860   105	 704930   101
768 	1210369   140	1122361   131
1024	1688801   162	1564545   154
