# reps=1000, dist name=sorted, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown
16  	  10054    16	  10155    13
24  	  18751    16	  18344    18
32  	  26893    20	  26530    19
48  	  47091    26	  45153    25
64  	  66803    28	  63687    31
96  	 112881    41	 106199    39
128 	 157690    48	 148125    46
192 	 262058    64	 243343    60
256 	 364252    72	 337215    71
384 	 596881    93	 548227    94
512 	 827595   110	 755630   111
768 	1342843   142	1216777   136
1024	1849577   161	1670563   158
