# reps=1000, dist name=uniform, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown
16  	  10126   377	  10253   368
24  	  18231   499	  18047   437
32  	  26441   550	  26096   458
48  	  45023   710	  43890   595
64  	  64286   791	  62241   668
96  	 107284  1014	 102738   852
128 	 151706  1082	 144256   914
192 	 249562  1385	 234823  1201
256 	 350140  1587	 327519  1343
384 	 569274  1981	 528032  1778
512 	 793953  2318	 732604  1997
768 	1279616  2746	1172323  2434
1024	1776323  3076	1620626  2699
