# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   7214   523	   7378   477	   7411   476
24  	  12715  1141	  14124   828	  14647   769
32  	  17454  1459	  21039   828	  22084   788
48  	  29608  1443	  39059   720	  41571   699
64  	  41643  1969	  57623   863	  61618   801
96  	  69166  2625	  99738  1095	 107417  1060
128 	  95826  3353	 141882  1342	 153368  1270
192 	 155868  4584	 236203  1685	 256655  1570
256 	 214888  5328	 330466  1949	 360115  1862
384 	 345731  7418	 539691  2425	 590482  2305
512 	 473707  8701	 748063  2951	 820659  2776
768 	 756761 12126	1207108  3629	1328501  3310
1024	1033485 13805	1664483  4422	1836039  4172
