# reps=1000, dist name=Zipf, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   9880   439	   9969   429	  10001   428
24  	  17767   484	  17828   449	  18346   451
32  	  25875   563	  25853   502	  26962   494
48  	  44396   693	  43628   628	  46197   606
64  	  63389   804	  61931   698	  66110   687
96  	 106184  1035	 102268   924	 110258   890
128 	 149975  1238	 143556  1045	 155680  1033
192 	 247464  1567	 233990  1369	 255641  1305
256 	 346921  1804	 326236  1525	 358091  1453
384 	 565252  2260	 526312  1958	 580974  1855
512 	 787802  2522	 730281  2182	 809178  2051
768 	1271825  3166	1169434  2688	1301583  2557
1024	1763738  3635	1615630  3179	1804020  2957
