# reps=1000, dist name=normal, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4043   500	   4166   499	   4535   619
24  	   7341   544	   9600   544	   8229   548
32  	  10824   702	  13787   702	  11674   717
48  	  20868   861	  20989   861	  22746   869
64  	  28190  1027	  28312  1027	  32392  1050
96  	  50983  1202	  59588  1203	  58543  1223
128 	  68579  1420	  80005  1422	  82053  1452
192 	 119594  1691	 119716  1692	 142366  1736
256 	 160305  2000	 160431  2003	 197388  2062
384 	 273310  2448	 307307  2453	 334046  2491
512 	 366220  2862	 411493  2861	 460522  2952
768 	 614375  3392	 614498  3394	 766003  3503
1024	 823166  4076	 823293  4077	1051816  4181
