# reps=1000, dist name=sorted, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   1490     6	   1619     6	   1427     7
24  	   4217     8	   6256    12	   3688     8
32  	   5470    13	   6861    10	   4329     8
48  	  12540    14	  12658    15	   9494    13
64  	  15403    15	  15525    17	  12748    14
96  	  29499    21	  33244    23	  24813    21
128 	  39165    25	  42800    27	  33148    22
192 	  71057    32	  71180    33	  60829    30
256 	  93264    39	  93384    37	  81141    36
384 	 162376    52	 172867    51	 143692    46
512 	 216209    58	 228838    59	 191600    52
768 	 368977    74	 369097    75	 331167    71
1024	 490368    88	 490487    86	 441533    83
1536	 822917   115	 860389   114	 749670   106
2048	1096811   134	1145410   139	 999522   123
3072	1819824   177	1819948   170	1673893   158
