# reps=1000, dist name=Zipf, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4995   622	   5117   622	   4930   623
24  	   7552   540	   8764   538	   7685   549
32  	  11065   696	  12068   696	  11045   710
48  	  20164   859	  20286   860	  20390   874
64  	  28229   990	  28352   989	  28867  1029
96  	  49305  1236	  51938  1237	  50849  1304
128 	  68192  1367	  71640  1367	  70752  1457
192 	 115553  1712	 115678  1708	 120764  1860
256 	 159071  2028	 159192  2023	 166893  2220
384 	 264888  2430	 274866  2433	 279342  2709
512 	 362234  2861	 375476  2860	 383945  3233
768 	 594728  3637	 594846  3639	 633163  4089
1024	 812024  4268	 812155  4266	 867714  4845
1536	1319719  5064	1359045  5057	1414873  5852
2048	1797773  5868	1850170  5875	1933746  6808
3072	2900042  7222	2900165  7225	3127487  8518
