# reps=1000, dist name=almost, dist param=0, PIVOT=END, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n       µ_Merge σ_Merge µ_MergeWriteBack σ_MergeWriteBack       µ_MergeHalfSpace σ_MergeHalfSpace
16         4398   554      4521   553      4421   555
24         6991   889      7112   889      7012   889
32        12976   850     15588   850     13955   917
48        19767  1198     23613  1197     20284  1450
64        33008  1216     33128  1216     34966  1439
96        48769  1621     48890  1623     51752  2252
128       77869  1676     87889  1676     85396  2209
192      115111  2107    130068  2107    125041  3604
256      179114  2350    179239  2352    198197  3682
384      265333  3058    265455  3057    292391  6810
512      404281  3134    443923  3133    452290  6569
768      602132  4180    661522  4179    671131 11708
1024     904764  4414    904884  4415   1016822 12298
