# reps=1000, dist name=uniform, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4245   328	   4367   328	   4256   328
24  	   7380   581	   7500   580	   7391   580
32  	  10738   797	  10859   797	  10749   796
48  	  20287   851	  22910   850	  20363   852
64  	  28294  1138	  30861  1138	  28332  1146
96  	  50032  1459	  50150  1457	  49333  1459
128 	  68747  1615	  68867  1616	  69519  1622
192 	 117942  2000	 123937  2001	 117765  2018
256 	 161310  2283	 168372  2286	 164429  2309
384 	 270185  2751	 270308  2755	 273658  2767
512 	 370516  3335	 370643  3338	 380099  3355
768 	 612211  4088	 631700  4088	 624257  4101
1024	 836154  4428	 861205  4425	 861968  4500
1536	1366153  5953	1366272  5961	1401610  5977
2048	1863819  6747	1863957  6757	1928792  6835
3072	3019042  7916	3092480  7910	3109967  7955
