# reps=1000, dist name=reverse, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4296     8	   4412    11	   4306     6
24  	   8634    13	   8756    13	   8646    15
32  	  10509    13	  10632    13	  10520    13
48  	  21772    17	  21895    17	  21782    17
64  	  29420    22	  31988    21	  32661    22
96  	  49742    24	  53488    26	  52979    28
128 	  67363    28	  67484    28	  76224    32
192 	 110586    39	 110707    38	 124152    38
256 	 153266    45	 160329    45	 181819    50
384 	 243027    57	 253516    57	 284508    58
512 	 335110    65	 335232    67	 410569    72
768 	 529447    80	 529574    79	 641328    90
1024	 731847   100	 756899    99	 922719   107
1536	1145725   120	1183190   125	1427290   136
2048	1577657   149	1577783   140	2036962   161
3072	2465130   180	2465257   177	3143878   206
