# reps=1000, dist name=almost, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   2998   561	   3119   560	   2998   561
24  	   5595   710	   5716   711	   5595   710
32  	   7960   972	   8081   972	   7959   972
48  	  12911  1542	  13032  1541	  12912  1543
64  	  21726  1679	  21847  1681	  21726  1679
96  	  34199  2576	  34319  2575	  34200  2576
128 	  56304  2326	  67732  2327	  62899  2499
192 	  85765  3251	 102833  3250	  91840  3715
256 	 134802  3433	 134921  3433	 150772  3709
384 	 200908  4727	 201032  4724	 225641  6261
512 	 307246  5082	 352517  5079	 359743  5752
768 	 456708  6417	 524544  6410	 532581 10039
1024	 688847  6986	 688961  6984	 822505  9929
