# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   3865   337	   3987   337	   3876   337
24  	   6794   616	   6914   616	   6804   616
32  	  11617   644	  13005   644	  11877   646
48  	  18442   891	  19799   891	  18747   891
64  	  29166   927	  29287   927	  29098   941
96  	  44674  1246	  44794  1246	  46531  1253
128 	  67545  1391	  71270  1389	  70525  1460
192 	 104286  1818	 109146  1818	 110581  1880
256 	 155066  2129	 155186  2133	 163324  2321
384 	 237747  2766	 237864  2767	 255463  2981
512 	 346542  3261	 359614  3261	 372765  3890
768 	 532793  4576	 551664  4577	 578865  5077
1024	 769311  4890	 769439  4886	 834836  7378
1536	1179458  7665	1179575  7664	1293045  9670
2048	1687643  8352	1738092  8351	1850778 14219
3072	2587837 14232	2662775 14246	2856922 17621
