# reps=1000, dist name=Zipf, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4160   328	   4282   329	   4171   329
24  	   7218   607	   7339   607	   7229   607
32  	  12255   609	  13643   610	  12722   613
48  	  19198   847	  20553   847	  19367   859
64  	  30700   902	  30821   902	  30848   925
96  	  46933  1230	  47054  1227	  48126  1290
128 	  71754  1364	  75479  1364	  74918  1434
192 	 110562  1705	 115422  1703	 114671  1833
256 	 166020  1908	 166140  1906	 173523  2090
384 	 254039  2555	 254162  2558	 266135  2793
512 	 374114  2790	 387185  2786	 397212  3083
768 	 573502  3850	 592381  3854	 605999  4200
1024	 835485  4264	 835607  4258	 892162  4628
1536	1276843  5402	1276956  5407	1359117  5940
2048	1840933  6346	1891383  6348	1981224  7093
3072	2813755  7947	2888696  7952	3013448  8901
