# reps=1000, dist name=normal, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4767   418	   4889   419	   4801   418
24  	   8521   770	   8642   771	   8555   771
32  	  14842   806	  16231   806	  15009   808
48  	  23773  1110	  25129  1109	  23535  1111
64  	  38016  1147	  38139  1145	  37018  1155
96  	  58872  1519	  58994  1519	  58561  1525
128 	  89875  1695	  93599  1697	  90108  1697
192 	 139647  2125	 144511  2128	 139412  2145
256 	 209108  2492	 209229  2491	 208779  2514
384 	 322206  2986	 322331  2984	 322587  2998
512 	 472825  3407	 485895  3402	 476731  3439
768 	 729282  4314	 748159  4312	 731471  4378
1024	1058903  4750	1059029  4757	1067279  4760
1536	1627526  6069	1627653  6072	1634538  6134
2048	2339478  6789	2389923  6775	2364740  6828
3072	3594064  8756	3669015  8750	3612969  8899
