# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   5372    11	   5499    10	   5386     9
24  	  10995    13	  11115    17	  11005    14
32  	  13703    15	  13825    16	  13714    16
48  	  22565    23	  24955    21	  23137    20
64  	  32504    24	  34234    24	  33075    25
96  	  53166    32	  53288    32	  54399    32
128 	  73984    37	  74103    39	  76804    37
192 	 118249    47	 122978    44	 123271    46
256 	 164361    52	 170586    55	 173258    54
384 	 261381    70	 261506    68	 276418    70
512 	 361199    80	 361320    82	 385487    84
768 	 570092   108	 588313   102	 609861   108
1024	 786108   129	 810319   120	 847388   119
1536	1236173   158	1236302   149	1334823   160
2048	1699617   186	1699750   182	1847424   176
3072	2662219   226	2734410   224	2897274   221
