# reps=1000, dist name=sorted, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   2885     7	   3000    10	   2896     4
24  	   4473     9	   4587    12	   4482     6
32  	   6058     9	   6174    14	   6068     9
48  	  13948    16	  16336    16	  12933    14
64  	  17164    16	  18894    17	  16127    16
96  	  32095    22	  32214    24	  29747    23
128 	  43255    25	  43378    26	  39666    25
192 	  77320    37	  82046    37	  70405    35
256 	 102863    40	 109086    43	  93857    40
384 	 178210    56	 178328    54	 162442    54
512 	 238157    65	 238277    62	 216546    61
768 	 404960    84	 423171    83	 367999    81
1024	 539961   103	 564183    99	 490592    89
1536	 904602   131	 904724   124	 822155   121
2048	1207285   146	1207409   141	1096116   141
3072	2000269   192	2072440   190	1816612   174
