# reps=1000, dist name=uniform, dist param=0, PIVOT=MEDIAN, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   5262   410	   5383   410	   5273   410
24  	   9280   731	   9401   732	   9292   732
32  	  13636  1013	  13759  1013	  13648  1012
48  	  24335  1074	  26726  1075	  24539  1079
64  	  34432  1438	  36162  1440	  34583  1447
96  	  58884  1848	  59005  1848	  58968  1845
128 	  81719  2041	  81840  2041	  82905  2052
192 	 136740  2531	 141468  2532	 138270  2552
256 	 188603  2898	 194829  2895	 192751  2929
384 	 311198  3478	 311316  3477	 316968  3494
512 	 428026  4223	 428141  4225	 439863  4244
768 	 698631  5190	 716847  5189	 715477  5196
1024	 956757  5615	 980969  5619	 987329  5692
1536	1548861  7565	1548969  7565	1592903  7578
2048	2116536  8555	2116657  8562	2191425  8671
3072	3401511 10002	3473683  9998	3510111 10052
