# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   5161   418	   5284   418	   5173   418
24  	   9055   737	   9176   737	   9066   738
32  	  13237  1015	  13358  1015	  13248  1014
48  	  23229  1082	  25619  1081	  23833  1079
64  	  32825  1474	  34558  1475	  33552  1469
96  	  55596  1893	  55717  1894	  57085  1917
128 	  76781  2117	  76900  2116	  80305  2074
192 	 127529  2646	 132256  2648	 133691  2657
256 	 175146  3101	 181372  3105	 186375  2957
384 	 287357  3692	 287477  3700	 306205  3649
512 	 393551  4621	 393671  4622	 424801  4315
768 	 639720  5660	 657935  5664	 690573  5643
1024	 871769  6582	 895975  6579	 952193  5784
1536	1406933  8396	1407056  8392	1536595  8092
2048	1913133 10135	1913256 10129	2110453  8691
3072	3068292 11701	3140460 11699	3382380 10440
