# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   3576   446	   3698   446	   3588   446
24  	   5617   710	   5739   711	   5628   710
32  	   7981   972	   8102   972	   7992   972
48  	  12933  1542	  13054  1542	  12942  1542
64  	  22084  1481	  24651  1481	  22681  1547
96  	  32992  2074	  35427  2074	  33328  2228
128 	  53097  2121	  53218  2122	  52787  2238
192 	  77011  2832	  77133  2834	  78936  3234
256 	 119213  3022	 126186  3023	 123399  3220
384 	 174690  4141	 183733  4140	 181405  5115
512 	 265630  4324	 265754  4322	 275441  4982
768 	 391096  6371	 391217  6370	 410372  8409
1024	 583718  6947	 608321  6944	 615415  8941
1536	 866933 10114	 902432 10114	 916171 13845
2048	1279131 11877	1279252 11879	1352586 15802
3072	1905062 17122	1905173 17125	2023804 23795
