# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   2336     3	   2453     7	   2342     9
24  	   3569     5	   3688     8	   3578    11
32  	   4803     7	   4922     9	   4812    11
48  	   7272    12	   7390    10	   7282    12
64  	  15104    16	  17675    17	  14784    16
96  	  20019    18	  22456    18	  19746    20
128 	  36406    24	  36530    24	  34488    25
192 	  49886    27	  50008    29	  49255    26
256 	  84777    35	  91752    39	  83489    35
384 	 119261    42	 128310    45	 117875    58
512 	 193573    55	 193693    51	 191050    54
768 	 277295    65	 277419    63	 274342    65
1024	 435072    81	 459687    84	 435064    85
1536	 632235   103	 667732   103	 625828    98
2048	 970436   126	 970565   125	 971268   123
3072	1419848   148	1419966   150	1405974   139
