# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   5261   410	   5383   410	   5273   410
24  	   9279   732	   9400   732	   9289   732
32  	  13636  1012	  13757  1013	  13646  1012
48  	  24617  1885	  24739  1884	  24628  1884
64  	  35930  1949	  38674  1949	  36730  1951
96  	  58166  2619	  60601  2622	  58863  2613
128 	  85974  2896	  86096  2894	  85748  2912
192 	 133063  4013	 133186  4014	 136489  3987
256 	 193068  4376	 200224  4375	 198873  4356
384 	 298272  5362	 307319  5363	 309315  5117
512 	 432934  6452	 433056  6454	 446890  6513
768 	 663312  8293	 663438  8290	 693203  7788
1024	 947536  9323	 972327  9322	 993186  9194
1536	1456572 12234	1492063 12237	1532776 11106
2048	2073373 13795	2073500 13795	2182805 14516
3072	3175640 19311	3175755 19322	3359178 15982
