# reps=1000, dist name=almost, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4049   398	   4171   398	   4061   398
24  	   6649   679	   6770   678	   6659   678
32  	   9495   852	   9616   852	   9506   852
48  	  15326  1305	  15447  1305	  15336  1304
64  	  21757  1679	  21879  1681	  21769  1681
96  	  40286  1770	  44438  1771	  40038  1896
128 	  55050  2247	  58191  2248	  54298  2429
192 	  94264  2676	  94385  2676	  92642  2870
256 	 129370  3500	 129495  3500	 127527  3835
384 	 215346  4424	 224306  4424	 211568  4788
512 	 292629  5714	 304495  5713	 288868  6499
768 	 482085  7063	 482205  7061	 474253  8054
1024	 655621  9411	 655738  9409	 648240 11060
1536	1067968 12352	1103122 12343	1051423 14838
2048	1445968 16487	1492756 16486	1429311 20144
3072	2341210 22541	2341339 22537	2303875 27767
