# reps=1000, dist name=reverse, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4504     8	   4626     7	   4514     6
24  	   7811    13	   7928    11	   7822    10
32  	  10851    12	  10973    14	  10860    13
48  	  18742    17	  18862    20	  18752    17
64  	  26458    20	  26574    22	  26468    19
96  	  43514    27	  47669    27	  44384    27
128 	  61961    32	  65101    32	  62479    33
192 	  99926    37	 100046    39	 101014    40
256 	 139155    44	 139278    45	 141780    45
384 	 222927    59	 231889    57	 227566    60
512 	 308271    68	 320139    70	 316653    69
768 	 489077    87	 489193    88	 503223    90
1024	 674675   105	 674790   104	 697760   106
1536	1065734   124	1100879   132	1103494   130
2048	1465402   150	1512180   158	1524002   154
3072	2303976   200	2304094   182	2398236   196
