# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   1491     7	   1619     6	   1299     6
17  	   2817     4	   3489     6	   1909     8
32  	   5284     8	   6288    12	   4668    11
33  	   8384    11	   8505    12	   5098     9
64  	  14676    16	  14796    17	  12614    13
65  	  20439    20	  22334    19	  12999    14
128 	  37004    25	  40451    25	  31624    23
129 	  47837    28	  47957    27	  31966    23
256 	  87509    38	  87630    37	  76025    36
257 	 108415    41	 115204    42	  76324    32
512 	 201817    56	 215048    55	 177732    51
513 	 242597    61	 242724    61	 178011    52
1024	 455765    81	 455888    80	 407102    78
1025	 536251    89	 562608    97	 407335    78
