# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   3424   690	   3547   690	   3579   690
17  	   5343   759	   6015   758	   4309   775
32  	   9701   993	  10704   994	   9281  1035
33  	  13003  1016	  13125  1016	   9997  1157
64  	  24677  1326	  24798  1326	  23524  1491
65  	  30790  1570	  32685  1570	  24331  1799
128 	  56936  1735	  60383  1733	  55129  2141
129 	  68533  2480	  68653  2481	  56055  3004
256 	 129732  2683	 129850  2686	 127764  3566
257 	 152778  3783	 159566  3781	 129359  5088
512 	 291068  4456	 304298  4450	 289975  6348
513 	 335913  6800	 336037  6803	 291727  8758
1024	 650720  8207	 650837  8207	 654118 11774
1025	 741124 11001	 767488 10999	 657039 15800
