# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4603   619	   4724   620	   4757   619
17  	   6659   709	   7331   709	   5845   761
32  	  13991  1058	  14994  1058	  13321   900
33  	  16841  1175	  16962  1175	  15078  1274
64  	  34588  1525	  34709  1528	  33550  1277
65  	  39420  1802	  41314  1802	  36750  2061
128 	  81144  2108	  84593  2108	  80415  1740
129 	  89510  2960	  89629  2957	  86429  3738
256 	 185168  3094	 185289  3090	 187263  2513
257 	 199701  5040	 206490  5040	 198724  6982
512 	 414464  4735	 427693  4739	 426639  3671
513 	 442766  8777	 442896  8778	 449096 13857
1024	 916954  7261	 917085  7259	 957600  5187
1025	 970372 16856	 996733 16851	1003710 26417
