# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=57368, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
14  	   7819    10	   7937    14	   6773     9
15  	   9448    11	  10079    11	   8292    15
28  	  18272    16	  19187    17	  16217    18
29  	  20543    17	  20666    17	  18496    19
56  	  38843    23	  38964    23	  35742    25
57  	  42909    23	  44630    24	  39611    26
112 	  82231    35	  85325    34	  77893    33
113 	  89623    37	  89744    35	  84933    34
224 	 173622    47	 173745    49	 168530    48
225 	 187573    51	 193655    50	 181914    51
448 	 364779    70	 376605    69	 361069    67
449 	 391581    72	 391702    72	 387154    74
896 	 765247   105	 765367    99	 770388   102
897 	 817637   101	 841177   108	 821854   108
1792	1601608   151	1648340   148	1636069   146
1793	1704946   157	1705071   152	1738324   151
