# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   5055   618	   5177   617	   5210   617
17  	   7170   773	   7842   772	   6305   787
32  	  14506  1059	  15508  1058	  13615   895
33  	  17391  1208	  17512  1208	  15327  1175
64  	  35195  1528	  35315  1530	  33405  1293
65  	  39807  1821	  41703  1820	  36216  1977
128 	  81638  2129	  85087  2129	  78813  1786
129 	  89990  2916	  90113  2915	  84114  3395
256 	 185634  3032	 185754  3032	 182085  2437
257 	 200799  5002	 207585  5000	 192396  6238
512 	 414752  4537	 427987  4538	 412891  3557
513 	 443046  9128	 443172  9125	 432952 12126
1024	 917082  7352	 917221  7350	 923824  5408
1025	 971471 16738	 997837 16737	 963524 23430
