# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=57368, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
14  	   3123   546	   3245   545	   2830   458
15  	   5168   530	   5796   531	   3807   529
28  	   9184   796	  10099   796	   7789   670
29  	  11617   999	  11739  1002	   9036   907
56  	  22087  1105	  22209  1104	  19167   966
57  	  25647  1333	  27368  1333	  20868  1505
112 	  50031  1623	  53127  1622	  45181  1388
113 	  56389  2043	  56507  2043	  48049  2535
224 	 111275  2373	 111394  2373	 103938  2130
225 	 121938  3768	 128020  3768	 108836  4833
448 	 244995  3393	 256819  3390	 235056  3151
449 	 264711  6637	 264834  6635	 244223  9380
896 	 533550  4875	 533672  4879	 523744  4734
897 	 570688 12515	 594226 12516	 541548 18129
1792	1155403  6629	1202129  6630	1156294  6799
1793	1228346 23712	1228468 23709	1191844 35152
