# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
14  	   3970   525	   4093   526	   4126   526
15  	   6086   616	   6714   615	   5341   626
28  	  10698   768	  11612   768	  10917   732
29  	  13713   949	  13834   949	  12592   997
56  	  25331  1078	  25453  1078	  26416  1069
57  	  29961  1419	  31681  1417	  28917  1735
112 	  57921  1590	  61018  1591	  61416  1609
113 	  65586  2267	  65707  2267	  66155  3071
224 	 129623  2216	 129747  2219	 139478  2289
225 	 143210  3891	 149294  3892	 148399  5690
448 	 286886  3128	 298706  3129	 312180  3209
449 	 312212  7042	 312333  7045	 329572 10838
896 	 628983  4382	 629107  4378	 690889  4576
897 	 678048 13745	 701590 13754	 725392 21015
