# reps=10000, upper bound=0, PIVOT=median_of_three, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n          µ_10 σ_10           µ_11 σ_11           µ_12 σ_12           µ_13 σ_13           µ_14 σ_14           µ_15 σ_15           µ_16 σ_16       µ_None σ_None
20        5632   384          5589   398          5571   411          5567   423          5576   440          5592   460          5617   492          9143   377
24        7040   433          6990   438          6967   453          6965   470          6977   486          7003   504          7041   529         11224   413
32       10017   523          9951   534          9917   547          9909   565          9929   582          9970   608         10026   647         15555   505
48       16348   687         16251   700         16199   717         16187   737         16208   756         16255   788         16332   819         24585   659
64       23072   842         22942   857         22880   871         22861   893         22892   919         22958   944         23052   977         34035   824
96       37362  1145         37165  1167         37066  1186         37052  1210         37101  1236         37198  1265         37345  1302         53741  1130
128      52496  1467         52246  1478         52123  1509         52101  1530         52159  1559         52287  1600         52475  1633         74304  1442
192      84440  2077         84055  2090         83862  2111         83828  2129         83924  2178         84120  2218         84418  2279        117095  2033
256     118006  2672        117482  2689        117227  2710        117185  2736        117309  2769        117573  2810        117970  2849        161504  2665
384     188546  3932        187768  3948        187389  3972        187320  3991        187483  4010        187871  4060        188440  4107        253767  3897
512     262360  5133        261335  5161        260817  5188        260715  5214        260959  5254        261498  5305        262271  5361        349305  5094
768     416994  7737        415446  7764        414679  7783        414530  7808        414898  7839        415686  7889        416870  7943        547334  7691
1024    578050 10188        575969 10211        574921 10221        574711 10254        575193 10294        576254 10339        577806 10389        751671 10161
