# reps=1000, dist name=uniform, dist param=0, PIVOT=MEDIAN_OF_RANDOM, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4574   480	   4492   452	   4422   470	   4587   489	   4638   506	   4660   506	   4557   491	   4443   465
24  	   7959   782	   7773   732	   7654   722	   7936   784	   8259   857	   8290   862	   7935   786	   7682   723
32  	  11458   925	  11130   844	  10954   840	  11368   907	  12023   985	  12064   990	  11425   931	  10991   840
48  	  19139  1186	  18505  1088	  18216  1082	  18897  1159	  20452  1303	  20512  1311	  19088  1193	  18272  1081
64  	  26986  1402	  26009  1269	  25607  1258	  26542  1351	  29145  1527	  29224  1535	  26916  1410	  25679  1257
96  	  44216  1840	  42384  1647	  41764  1641	  43226  1737	  48208  2064	  48327  2072	  44118  1848	  41874  1640
128 	  61996  2213	  59239  1963	  58386  1959	  60375  2052	  68126  2547	  68284  2557	  61859  2224	  58530  1958
192 	 100048  3184	  95252  2775	  93952  2762	  97010  2885	 111010  3626	 111248  3637	  99849  3193	  94174  2760
256 	 139791  3959	 132659  3371	 130913  3367	 135035  3492	 155780  4561	 156101  4565	 139528  3971	 131201  3365
384 	 223116  5873	 211039  4948	 208385  4943	 214611  5077	 250539  6851	 251014  6863	 222719  5887	 208820  4939
512 	 309856  7218	 292355  6109	 288793  6083	 297138  6248	 349197  8780	 349824  8789	 309331  7224	 289375  6084
768 	 491924 10928	 462673  8946	 457323  8933	 469896  9081	 557430 12741	 558380 12757	 491132 10948	 458193  8929
1024	 680085 14678	 638423 11981	 631262 11967	 648042 12136	 773240 16741	 774503 16756	 679029 14687	 632433 11973
