# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=14, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4419   434	   4435   424	   4369   441	   4535   443	   4438   438	   4470   435	   4402   442	   4389   436
24  	   7597   724	   7635   728	   7523   718	   7801   782	   7805   785	   7847   788	   7572   727	   7550   717
32  	  10833   830	  10897   831	  10733   825	  11143   892	  11297   917	  11351   918	  10802   835	  10768   823
48  	  17957  1037	  18071  1035	  17803  1032	  18476  1102	  18994  1137	  19075  1138	  17909  1044	  17854  1031
64  	  25282  1237	  25450  1238	  25073  1229	  26015  1316	  26978  1371	  27088  1374	  25218  1241	  25143  1226
96  	  41101  1621	  41374  1623	  40781  1615	  42261  1717	  44339  1824	  44505  1828	  41004  1629	  40886  1613
128 	  57420  2053	  57798  2052	  56991  2043	  59004  2151	  62372  2309	  62591  2312	  57290  2060	  57131  2043
192 	  91873  2614	  92464  2615	  91227  2606	  94298  2712	 100597  3008	 100922  3010	  91679  2622	  91436  2605
256 	 128112  3387	 128911  3386	 127245  3377	 131397  3495	 141045  3895	 141482  3901	 127853  3396	 127524  3376
384 	 203445  4836	 204667  4833	 202151  4832	 208422  4942	 225523  5643	 226179  5648	 203066  4847	 202566  4827
512 	 281780  5844	 283422  5836	 280043  5835	 288469  5977	 313712  6851	 314585  6852	 281268  5857	 280601  5832
768 	 445735  9128	 448215  9123	 443137  9123	 455789  9266	 498993 10809	 500303 10815	 444965  9141	 443960  9115
1024	 614749 11711	 618055 11718	 611278 11684	 628243 11872	 690870 14066	 692597 14073	 613735 11714	 612385 11690
