n	µ_11 σ_11	µ_12 σ_12	µ_13 σ_13	µ_14 σ_14	µ_15 σ_15	µ_16 σ_16	µ_17 σ_17	µ_18 σ_18	µ_19 σ_19	µ_20 σ_20
16  	  4550   567	   4469   513	  4422   470	  4400   435	  4392   414	  4268   497	  4267   496	  4267   496	  4268   496	  4267   497
24  	  7877   715	   7756   725	  7654   722	  7599   723	  7571   731	  7566   734	  7537   728	  7523   734	  7538   750	  7553   771
32  	 11232   855	  11066   843	 10954   840	 10864   828	 10816   817	 10791   817	 10756   825	 10739   825	 10754   840	 10765   849
48  	 18661  1122	  18396  1086	 18216  1082	 18056  1102	 17975  1101	 17954  1096	 17873  1070	 17857  1081	 17884  1085	 17931  1112
64  	 26264  1279	  25893  1254	 25607  1258	 25426  1227	 25345  1210	 25323  1223	 25260  1222	 25265  1225	 25277  1251	 25313  1315
96  	 42742  1719	  42178  1696	 41764  1641	 41506  1625	 41350  1659	 41295  1659	 41163  1654	 41120  1636	 41208  1670	 41295  1686
128 	 59736  2001	  58915  1975	 58386  1959	 58043  1898	 57922  1947	 57907  2036	 57665  2039	 57623  2030	 57637  2050	 57736  2108
192 	 95869  2859	  94719  2725	 93952  2762	 93448  2693	 93144  2687	 93037  2660	 92708  2668	 92579  2706	 92667  2793	 92876  2835
256 	133185  3504	 131823  3382	130913  3367	130269  3428	129789  3355	129615  3337	129280  3362	129096  3334	129185  3399	129350  3479
384 	212008  5127	 209817  4979	208385  4943	207384  5077	206836  5022	206683  5004	206060  4932	205937  4922	205995  4823	206282  4871
512 	293728  6111	 290540  6081	288793  6083	287358  6084	286768  6106	286191  5816	285819  5960	285638  5864	285889  5880	286160  5883
768 	464474  9117	 460385  9344	457323  8933	455500  9070	454401  9062	453900  9325	452718  8935	452569  8835	452658  8695	453410  8945
1024	641445 12034	 635335 12024	631262 11967	628662 11078	627574 11430	626561 11356	625399 11330	624888 11406	625265 11637	626141 11695
