# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=19, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5220   617	   5210   617	   5888   738	   5976   739	   5458   520	   5415   524	   5887   738	   5898   738
24  	   9052   908	   9050   903	  10231  1073	  10524  1100	   9481   972	   9403   980	  10060  1047	  10254  1072
32  	  12944  1010	  12949  1008	  14733  1228	  15131  1272	  13778  1183	  13667  1189	  14421  1173	  14763  1229
48  	  21451  1317	  21467  1313	  24496  1602	  25109  1641	  23174  1529	  23015  1522	  23875  1523	  24540  1600
64  	  30304  1545	  30337  1545	  34743  1883	  35582  1927	  33068  1797	  32858  1794	  33756  1784	  34800  1884
96  	  49385  2077	  49440  2074	  56903  2579	  58195  2632	  54596  2493	  54276  2483	  55053  2394	  56989  2581
128 	  69183  2508	  69266  2505	  80024  3178	  81761  3246	  77128  3116	  76702  3101	  77213  2890	  80138  3178
192 	 111134  3538	 111264  3532	 129021  4421	 131657  4484	 125006  4325	 124377  4315	 124126  4018	 129193  4420
256 	 155056  4340	 155240  4340	 180688  5725	 184223  5794	 175624  5613	 174784  5598	 173417  5055	 180915  5725
384 	 246974  6760	 247269  6757	 288866  8860	 294209  8935	 281916  8722	 280660  8717	 276508  7781	 289203  8860
512 	 342150  7847	 342544  7843	 401146 10696	 408281 10749	 392504 10497	 390839 10480	 383363  9217	 401591 10692
768 	 542483 12386	 543088 12376	 638252 16359	 648995 16415	 626553 16075	 624034 16075	 608495 14202	 638926 16355
1024	 749529 15304	 750343 15308	 883927 20694	 898262 20753	 869385 20412	 866016 20411	 841525 17706	 884825 20697
