# reps=10000, upper bound=0, PIVOT=end, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        6019   577      5694   511      5584   541      5699   579      5810   611      5796   597      6047   607      5571   529
24        7554   679      7128   594      6987   628      7142   673      7356   723      7338   707      7588   714      6971   614
32       10813   882     10162   759      9956   796     10194   847     10642   921     10619   903     10859   921      9935   780
48       17800  1270     16646  1081     16307  1120     16707  1179     17727  1306     17693  1285     17868  1313     16276  1102
64       25348  1667     23628  1409     23158  1449     23722  1515     25410  1704     25366  1682     25438  1712     23116  1430
96       41435  2402     38478  2024     37740  2064     38628  2130     41864  2432     41798  2411     41567  2447     37679  2045
128      58580  3144     54272  2649     53269  2690     54483  2758     59482  3189     59394  3167     58758  3189     53188  2671
192      95006  4736     87705  3955     86170  3998     88038  4067     96908  4718     96777  4696     95270  4781     86048  3979
256     133438  6283    122954  5263    120888  5304    123406  5377    136612  6298    136437  6275    133787  6331    120727  5283
384     214725  9415    197303  7841    194178  7885    197999  7959    220592  9341    220329  9316    215252  9464    193935  7864
512     300174 12562    275346 10404    271167 10446    276291 10516    309104 12329    308752 12309    300876 12610    270841 10426
768     479813 19159    439147 15834    432851 15880    440577 15954    495480 18703    494956 18679    480866 19209    432367 15859
1024    667125 24857    609858 20690    601434 20736    611770 20806    690398 24621    689696 24597    668526 24908    600786 20711
