# reps=10000, upper bound=0, PIVOT=middle, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        6154   625      5823   551      5718   583      5833   626      5942   655      5927   640      6184   659      5703   570
24        7714   739      7283   645      7142   679      7298   726      7507   771      7489   754      7748   775      7126   664
32       11020   938     10371   812     10162   847     10399   902     10844   975     10821   957     11065   977     10142   832
48       18169  1331     17019  1139     16678  1178     17078  1241     18098  1370     18065  1350     18235  1375     16647  1160
64       25837  1728     24124  1468     23651  1508     24213  1575     25900  1756     25856  1735     25926  1773     23610  1489
96       42255  2502     39292  2109     38555  2152     39444  2225     42686  2529     42618  2506     42388  2551     38493  2131
128      59642  3221     55320  2704     54317  2743     55531  2815     60509  3225     60422  3203     59817  3268     54237  2723
192      96576  4785     89294  4001     87759  4047     89623  4121     98502  4771     98371  4747     96837  4834     87639  4025
256     135676  6427    125164  5338    123098  5383    125615  5458    138783  6317    138608  6292    136026  6477    122937  5362
384     218053  9470    200625  7928    197507  7973    201327  8050    223910  9472    223646  9447    218580  9522    197263  7949
512     304685 12632    279862 10485    275676 10531    280797 10609    313615 12448    313266 12422    305384 12682    275352 10507
768     486400 19046    445799 15867    439488 15916    447213 15995    502156 18886    501632 18859    487447 19099    439005 15892
1024    676459 24972    619108 20678    610665 20733    620995 20803    699625 24471    698930 24445    677846 25027    610025 20707
