# reps=10000, upper bound=0, PIVOT=random, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        6469   758      6143   678      6037   713      6152   760      6285   800      6270   783      6499   793      6024   699
24        8089   864      7664   768      7524   799      7678   851      7914   908      7898   891      8123   900      7508   784
32       11545  1072     10898   938     10691   972     10927  1030     11413  1109     11390  1090     11590  1112     10670   955
48       19143  1501     17990  1307     17653  1346     18053  1414     19135  1554     19102  1532     19211  1547     17622  1327
64       27072  1862     25363  1610     24891  1649     25451  1722     27219  1909     27175  1886     27160  1911     24849  1628
96       44292  2688     41340  2307     40601  2350     41490  2432     44866  2746     44800  2721     44424  2740     40540  2327
128      62373  3410     58052  2896     57051  2943     58265  3028     63415  3437     63327  3412     62549  3464     56969  2919
192     100922  5096     93620  4302     92087  4349     93954  4441    103103  5083    102971  5056    101186  5152     91964  4323
256     141520  6541    130987  5503    128926  5553    131447  5644    144988  6550    144812  6523    141873  6598    128764  5527
384     226850  9597    209425  8052    206300  8103    210122  8195    233285  9578    233023  9550    227377  9654    206056  8078
512     316319 12878    291489 10744    287306 10793    292430 10882    325991 12724    325642 12696    317020 12931    286980 10769
768     503873 18775    463308 15665    457001 15710    464733 15808    520785 18633    520261 18607    504923 18831    456517 15685
1024    699874 25046    642558 20889    634131 20937    644466 21029    724621 24824    723922 24799    701272 25098    633485 20915
