# reps=10000, upper bound=0, PIVOT=end, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        5609   526      5676   507      5564   536      5699   579      5825   610      5812   596      5635   552      5552   524
24        7018   610      7105   589      6961   622      7142   673      7374   720      7357   704      7049   641      6945   608
32       10000   776     10129   754      9918   788     10194   847     10667   918     10644   900     10042   811      9897   772
48       16378  1099     16590  1075     16246  1112     16707  1179     17763  1301     17729  1281     16440  1138     16215  1093
64       23255  1426     23551  1403     23073  1440     23722  1514     25460  1697     25415  1676     23338  1469     23032  1420
96       37892  2042     38357  2019     37608  2054     38628  2130     41935  2424     41869  2403     38014  2084     37547  2036
128      53475  2667     54107  2643     53091  2681     54484  2758     59575  3180     59486  3158     53637  2710     53009  2661
192      86483  3975     87452  3949     85898  3989     88037  4067     97052  4707     96919  4686     86727  4019     85776  3970
256     121309  5280    122616  5255    120521  5293    123406  5377    136800  6288    136625  6268    121633  5326    120360  5273
384     194814  7860    196788  7834    193623  7876    197999  7958    220870  9332    220607  9307    195299  7907    193381  7855
512     272015 10423    274658 10399    270422 10435    276291 10518    309483 12319    309131 12296    272662 10468    270097 10417
768     434129 15854    438111 15826    431733 15870    440579 15954    496049 18698    495524 18674    435097 15902    431247 15848
1024    603142 20708    608472 20682    599938 20723    611769 20809    691159 24611    690459 24588    604435 20753    599292 20701
