# reps=10000, upper bound=0, PIVOT=random, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        6259   686      6126   673      6017   706      6152   760      6300   800      6285   784      6288   720      6004   692
24        7790   771      7641   763      7498   791      7678   851      7933   908      7916   892      7824   806      7483   776
32       11054   939     10871   931     10662   962     10937  1029     11446  1107     11424  1088     11100   979     10641   945
48       18165  1314     17916  1304     17570  1338     18031  1415     19148  1547     19115  1526     18232  1358     17540  1319
64       25608  1605     25291  1595     24811  1632     25455  1715     27275  1901     27232  1879     25694  1654     24771  1611
96       41682  2281     41230  2269     40485  2310     41505  2403     44942  2697     44875  2672     41815  2334     40423  2287
128      58511  2903     57927  2892     56912  2934     58305  3034     63558  3441     63469  3415     58688  2960     56829  2909
192      94207  4258     93355  4247     91802  4289     93940  4392    103241  5058    103110  5031     94471  4316     91681  4264
256     131664  5512    130544  5502    128454  5545    131337  5649    145076  6526    144901  6500    132014  5571    128292  5519
384     210536  8075    208881  8061    205716  8107    210094  8215    233563  9588    233300  9562    211063  8135    205473  8082
512     293040 10690    290848 10680    286607 10722    292471 10831    326458 12676    326112 12649    293737 10750    286287 10696
768     465631 15706    462365 15695    455977 15737    464814 15850    521422 18646    520899 18616    466674 15766    455496 15713
1024    645756 21248    641424 21240    632888 21279    644720 21393    725723 25067    725023 25043    647156 21308    632243 21253
