# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4227   500	   4218   501	   4206   501	   4218   501	   4094   493	   4126   490	   4217   500	   4217   501
24  	   6877   767	   6676   710	   6614   725	   6838   759	   7184   817	   7225   823	   6859   776	   6635   721
32  	   9796   903	   9443   819	   9347   843	   9688   887	  10409   976	  10467   987	   9773   915	   9375   836
48  	  16074  1251	  15361  1105	  15193  1125	  15768  1183	  17440  1389	  17530  1404	  16040  1261	  15234  1119
64  	  22779  1530	  21646  1355	  21417  1374	  22224  1437	  25004  1696	  25128  1711	  22736  1542	  21470  1369
96  	  36763  2133	  34719  1855	  34353  1883	  35614  1944	  40958  2402	  41145  2416	  36700  2146	  34432  1875
128 	  51480  2693	  48429  2350	  47932  2376	  49639  2440	  57880  3045	  58128  3059	  51396  2704	  48035  2369
192 	  82505  4013	  77172  3450	  76406  3482	  79014  3546	  93895  4603	  94268  4617	  82375  4032	  76563  3473
256 	 114896  5250	 107094  4457	 106039  4471	 109519  4543	 131847  6091	 132343  6106	 114716  5261	 106254  4470
384 	 181751  7698	 168632  6551	 167015  6582	 172247  6642	 210916  8932	 211656  8944	 181465  7712	 167342  6575
512 	 251512 10245	 232622  8809	 230443  8825	 237373  8893	 294113 11801	 295092 11812	 251127 10257	 230884  8822
768 	 395573 15990	 364733 13664	 361437 13675	 371663 13709	 467033 18509	 468463 18507	 394967 15992	 362101 13674
1024	 542478 20657	 498866 17337	 494459 17343	 507939 17404	 645482 24352	 647376 24362	 541670 20658	 495344 17341
