# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4647   619	   4637   620	   4625   619	   4802   619	   5024   673	   5056   670	   4636   619	   4636   619
24  	   7926   906	   7727   852	   7666   877	   8170   918	   9110  1047	   9150  1051	   7910   917	   7687   872
32  	  11599  1193	  11227  1089	  11154  1148	  11885  1203	  13340  1336	  13398  1341	  11582  1209	  11180  1141
48  	  19533  1569	  18815  1423	  18668  1485	  19829  1564	  22574  1756	  22662  1767	  19502  1581	  18707  1481
64  	  28334  2207	  27157  1993	  26981  2059	  28591  2144	  32733  2494	  32855  2504	  28293  2219	  27035  2054
96  	  47104  3180	  44953  2850	  44618  2974	  47126  3067	  54614  3584	  54805  3596	  47043  3194	  44697  2968
128 	  67323  4262	  64050  3901	  63614  3897	  67019  3993	  78107  5022	  78362  5037	  67244  4277	  63719  3889
192 	 109959  6331	 104229  5715	 103624  5843	 108806  5952	 127638  7285	 128026  7301	 109832  6344	 103787  5839
256 	 155949  8413	 147534  7605	 146709  7787	 153631  7873	 181231  9797	 181748  9812	 155783  8427	 146922  7781
384 	 252988 13284	 238747 12052	 237287 12181	 247793 12299	 294529 15552	 295309 15570	 252731 13292	 237601 12174
512 	 356044 17463	 335289 15802	 333573 16071	 347641 16173	 414363 20377	 415400 20395	 355699 17467	 333987 16064
768 	 570519 24816	 536076 22585	 533657 22740	 554852 22810	 664317 29225	 665894 29237	 570013 24828	 534294 22732
1024	 799328 35165	 750290 32099	 746460 32051	 774741 32166	 931929 41737	 934027 41753	 798644 35165	 747316 32054
