# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3912   499	   3902   499	   3891   499	   3901   499	   3968   428	   3987   423	   3901   499	   3902   499
24  	   6356   667	   6361   655	   6282   667	   6504   698	   7101   757	   7125   757	   6340   676	   6303   663
32  	   9128   845	   9138   824	   9025   848	   9367   885	  10519   997	  10551   997	   9110   860	   9049   842
48  	  15087  1061	  15127  1047	  14922  1059	  15487  1115	  17952  1318	  18000  1320	  15055  1073	  14962  1054
64  	  21588  1431	  21650  1412	  21360  1428	  22162  1491	  26163  1840	  26224  1844	  21546  1446	  21413  1421
96  	  35347  2005	  35456  1984	  34996  2003	  36276  2074	  43876  2609	  43971  2613	  35286  2020	  35074  1994
128 	  50055  2651	  50207  2629	  49580  2647	  51337  2723	  62895  3596	  63019  3604	  49975  2664	  49681  2639
192 	  80890  3852	  81148  3835	  80158  3845	  82856  3928	 103151  5194	 103339  5204	  80759  3864	  80320  3840
256 	 113937  5076	 114285  5054	 112965  5072	 116566  5141	 146569  6913	 146810  6920	 113764  5091	 113177  5064
384 	 183168  7948	 183718  7933	 181697  7938	 187203  8038	 238630 10982	 239002 10997	 182914  7963	 182016  7937
512 	 256331 10400	 257072 10386	 254368 10390	 261757 10476	 336133 14326	 336620 14334	 255996 10409	 254794 10385
768 	 408145 14759	 409264 14735	 405183 14753	 416343 14811	 539922 20390	 540650 20400	 407643 14766	 405819 14743
1024	 569090 20859	 570605 20850	 565136 20845	 580027 20944	 757558 29266	 758532 29274	 568405 20870	 565983 20839
