# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5100   617	   5089   617	   5078   617	   5254   617	   5421   791	   5438   784	   5090   617	   5089   617
24  	   8393   952	   8391   933	   8319   954	   8832  1000	   9643  1201	   9666  1200	   8380   965	   8338   948
32  	  12152  1184	  12159  1160	  12051  1185	  12786  1248	  14175  1513	  14206  1514	  12138  1200	  12075  1177
48  	  20121  1642	  20150  1614	  19955  1640	  21140  1719	  23968  2093	  24013  2091	  20097  1660	  19993  1631
64  	  28983  2154	  29036  2124	  28756  2152	  30401  2241	  34832  2790	  34894  2789	  28948  2173	  28804  2143
96  	  47582  2996	  47671  2970	  47234  2993	  49769  3097	  57892  3858	  57980  3862	  47533  3016	  47305  2983
128 	  67583  4000	  67707  3963	  67113  3995	  70558  4113	  82836  5080	  82957  5086	  67521  4025	  67207  3985
192 	 109845  6002	 110057  5977	 109127  5992	 114356  6099	 135829  7705	 136009  7708	 109742  6019	 109271  5986
256 	 154845  8090	 155138  8054	 153885  8094	 160907  8180	 192450 10300	 192688 10302	 154712  8114	 154079  8081
384 	 249122 12646	 249582 12619	 247666 12648	 258283 12754	 311718 16156	 312077 16158	 248917 12674	 247954 12639
512 	 348699 16278	 349316 16249	 346751 16279	 360988 16378	 437975 20923	 438458 20928	 348431 16301	 347138 16270
768 	 559640 24115	 560591 24097	 556720 24105	 578106 24211	 706381 30838	 707097 30843	 559242 24132	 557304 24107
1024	 777165 31600	 778443 31554	 773277 31592	 801830 31694	 983754 39969	 984710 39974	 776633 31620	 774045 31581
