# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5041   622	   5030   622	   5020   622	   5196   622	   5304   755	   5324   750	   5030   622	   5030   622
24  	   8161   948	   8166   937	   8087   947	   8594   991	   9385  1224	   9408  1225	   8145   957	   8107   943
32  	  11656  1119	  11673  1104	  11549  1116	  12278  1181	  13641  1402	  13674  1405	  11633  1130	  11578  1110
48  	  19184  1551	  19227  1538	  19013  1545	  20188  1624	  22969  1965	  23018  1971	  19150  1562	  19056  1539
64  	  27248  1915	  27311  1902	  27019  1907	  28636  1993	  32963  2354	  33026  2358	  27207  1926	  27073  1904
96  	  44076  2690	  44188  2673	  43726  2687	  46211  2769	  54143  3367	  54234  3368	  44011  2706	  43804  2681
128 	  61808  3422	  61968  3404	  61341  3418	  64691  3495	  76556  4259	  76677  4263	  61728  3436	  61445  3410
192 	  99234  5110	  99496  5086	  98529  5110	 103608  5185	 124367  6419	 124549  6425	  99106  5126	  98685  5102
256 	 138319  6725	 138691  6714	 137371  6720	 144156  6799	 174667  8529	 174910  8534	 138143  6735	 137587  6715
384 	 218967  9891	 219553  9878	 217534  9893	 227728  9953	 279740 12518	 280096 12519	 218679  9905	 217863  9884
512 	 303202 13193	 304007 13178	 301307 13188	 314842 13265	 390280 16466	 390750 16466	 302818 13203	 301738 13188
768 	 477233 20644	 478488 20641	 474407 20646	 494536 20675	 620183 25840	 620866 25849	 476632 20644	 475073 20642
1024	 654286 26527	 655980 26525	 650550 26519	 677208 26590	 857597 34079	 858509 34087	 653470 26533	 651436 26521
