# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2839   447	   2828   447	   2829   448	   2829   447	   3080   261	   3107   260	   2829   447	   2841   447
24  	   4780   447	   4780   448	   4736   447	   4869   447	   4896   454	   4923   454	   4758   448	   4769   447
32  	   7024   504	   7030   511	   6948   502	   7210   518	   7306   544	   7348   551	   6993   505	   7003   504
48  	  11311   584	  11319   583	  11217   578	  11558   615	  11960   634	  12010   642	  11274   584	  11283   583
64  	  17010   798	  17036   811	  16863   789	  17413   832	  18192   928	  18268   938	  16954   795	  16965   796
96  	  28089   698	  28134   703	  27876   692	  28692   723	  30461   832	  30565   839	  28012   699	  28022   697
128 	  41439  1267	  41517  1286	  41140  1248	  42301  1336	  45111  1487	  45259  1501	  41336  1262	  41344  1262
192 	  68950  1420	  69072  1428	  68513  1403	  70232  1474	  75704  1681	  75926  1687	  68800  1417	  68810  1416
256 	  99751  1808	  99948  1826	  99141  1787	 101564  1882	 109885  2254	 110195  2264	  99545  1801	  99555  1803
384 	 164104  2781	 164383  2800	 163207  2752	 166774  2875	 181769  3274	 182219  3286	 163801  2772	 163810  2769
512 	 234276  2581	 234670  2607	 233052  2563	 237936  2655	 260057  3400	 260672  3402	 233864  2575	 233874  2574
768 	 381816  5704	 382392  5731	 380014  5639	 387224  5906	 425709  6432	 426612  6460	 381211  5681	 381221  5685
1024	 539926  4221	 540709  4282	 537459  4215	 547324  4252	 602803  5911	 604031  5911	 539103  4220	 539115  4224
