# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4669   620	   4659   620	   4659   620	   4845   620	   4741   634	   4766   629	   4658   620	   4670   619
24  	   8241   944	   8217   916	   8193   946	   8677   989	   8549   975	   8579   978	   8225   953	   8230   946
32  	  12106  1236	  12084  1212	  12039  1241	  12731  1302	  12497  1233	  12541  1235	  12088  1251	  12089  1239
48  	  20464  1637	  20439  1605	  20350  1634	  21444  1716	  21120  1610	  21187  1614	  20432  1649	  20430  1637
64  	  29700  2295	  29703  2235	  29543  2296	  31046  2376	  30620  2262	  30711  2264	  29658  2311	  29653  2298
96  	  49540  3268	  49497  3198	  49294  3268	  51625  3356	  51022  3185	  51161  3193	  49479  3283	  49466  3269
128 	  70840  4509	  70799  4270	  70505  4506	  73665  4601	  72975  4403	  73161  4414	  70759  4521	  70735  4508
192 	 115741  6530	 115795  6325	 115225  6529	 120022  6629	 119208  6370	 119490  6385	 115617  6547	 115580  6533
256 	 164195  8676	 164258  8356	 163506  8679	 169914  8763	 169190  8582	 169568  8590	 164029  8694	 163980  8682
384 	 266743 13769	 266638 13182	 265688 13768	 275403 13880	 274740 13606	 275307 13622	 266491 13782	 266405 13772
512 	 375268 17995	 375367 17309	 373854 17988	 386855 18083	 386450 17796	 387213 17814	 374925 18002	 374808 17998
768 	 601528 25689	 601854 24516	 599390 25695	 618973 25777	 619336 25390	 620476 25400	 601018 25704	 600841 25693
1024	 843376 36655	 843250 34791	 840525 36638	 866640 36757	 868237 36392	 869752 36399	 842704 36659	 842461 36649
