# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5121   617	   5111   617	   5112   618	   5298   618	   5229   730	   5252   725	   5111   617	   5122   617
24  	   8898  1046	   8866  1008	   8852  1050	   9343  1096	   9248  1079	   9279  1082	   8885  1060	   8887  1049
32  	  13010  1348	  12973  1284	  12944  1352	  13639  1424	  13475  1347	  13519  1349	  12995  1366	  12993  1352
48  	  21791  1880	  21729  1789	  21679  1884	  22789  1964	  22543  1857	  22610  1861	  21763  1900	  21759  1884
64  	  31583  2476	  31527  2361	  31426  2479	  32959  2570	  32591  2454	  32681  2458	  31547  2497	  31536  2480
96  	  52184  3488	  52074  3266	  51940  3489	  54294  3596	  53876  3378	  54013  3388	  52134  3510	  52111  3490
128 	  74418  4600	  74320  4401	  74090  4603	  77284  4717	  76790  4465	  76975  4474	  74355  4626	  74318  4604
192 	 121531  6879	 121320  6525	 121026  6877	 125861  6982	 125366  6772	 125645  6788	 121429  6899	 121373  6881
256 	 171795  9220	 171502  8811	 171119  9227	 177606  9316	 177169  9090	 177544  9102	 171662  9248	 171582  9224
384 	 277361 14445	 276978 13670	 276338 14448	 286135 14561	 285997 14245	 286567 14255	 277162 14466	 277041 14445
512 	 389065 18605	 388589 17548	 387689 18610	 400824 18713	 401022 18402	 401777 18413	 388802 18627	 388636 18608
768 	 626050 27473	 625158 26159	 623973 27470	 643701 27573	 645130 27175	 646270 27183	 625650 27488	 625389 27471
1024	 870547 35731	 870129 34588	 867782 35735	 894110 35831	 897292 35438	 898806 35444	 870008 35750	 869671 35731
