# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5062   622	   5053   622	   5053   622	   5239   622	   5107   705	   5132   702	   5053   622	   5064   622
24  	   8654  1032	   8631   995	   8607  1032	   9093  1077	   9002  1094	   9034  1098	   8639  1040	   8643  1033
32  	  12496  1258	  12475  1231	  12426  1257	  13117  1331	  12953  1252	  12997  1257	  12473  1271	  12476  1259
48  	  20826  1770	  20801  1704	  20710  1766	  21811  1848	  21567  1744	  21637  1752	  20792  1780	  20792  1770
64  	  29785  2178	  29770  2130	  29626  2174	  31135  2261	  30774  2090	  30869  2098	  29744  2189	  29738  2180
96  	  48572  3048	  48595  2956	  48324  3047	  50637  3127	  50174  2990	  50312  2996	  48506  3061	  48497  3049
128 	  68454  3851	  68544  3779	  68122  3851	  71233  3933	  70650  3786	  70833  3792	  68372  3867	  68351  3854
192 	 110648  5768	 110836  5577	 110143  5770	 114860  5849	 114078  5703	 114352  5712	 110522  5786	 110491  5773
256 	 154926  7637	 155204  7394	 154244  7634	 160534  7715	 159615  7512	 159981  7522	 154747  7645	 154710  7637
384 	 246791 11160	 247208 10864	 245751 11153	 255199 11219	 254290 11037	 254831 11044	 246507 11166	 246460 11156
512 	 343182 14784	 343768 14606	 341794 14788	 354343 14859	 353532 14671	 354241 14673	 342791 14798	 342730 14790
768 	 542864 23122	 544631 22791	 540781 23120	 559446 23160	 559316 22983	 560357 22987	 542258 23127	 542179 23115
1024	 747580 30163	 749563 28965	 744823 30167	 769548 30236	 770624 29931	 771993 29939	 746762 30176	 746676 30162
