# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3130   561	   2954   560	   2942   560	   2954   560	   3252   418	   3284   416	   3119   561	   2954   560
24  	   4928   658	   4546   630	   4479   632	   4671   663	   4753   690	   4789   695	   4907   661	   4501   631
32  	   6855   825	   6318   795	   6236   789	   6462   829	   6684   902	   6725   910	   6831   826	   6261   790
48  	  11155   972	  10161   911	   9986   909	  10491   955	  11195  1053	  11274  1063	  11113   975	  10029   909
64  	  15518  1291	  14104  1209	  13895  1193	  14493  1271	  15703  1467	  15799  1479	  15469  1291	  13945  1196
96  	  25188  1505	  22709  1388	  22324  1377	  23435  1453	  25889  1737	  26055  1750	  25105  1506	  22409  1376
128 	  34468  2238	  30951  2039	  30492  2004	  31807  2142	  35600  2589	  35793  2608	  34370  2234	  30592  2011
192 	  56393  2564	  50427  2282	  49617  2257	  51931  2372	  58881  2977	  59220  2995	  56226  2562	  49787  2260
256 	  76598  3850	  68239  3427	  67298  3372	  69994  3576	  80258  4504	  80648  4532	  76405  3844	  67494  3383
384 	 125655  4150	 111688  3588	 110026  3556	 114741  3693	 132715  4870	 133392  4885	 125318  4150	 110368  3563
512 	 168683  6720	 149306  5871	 147424  5767	 152783  6110	 178525  7767	 179293  7813	 168303  6696	 147806  5784
768 	 277594  7211	 245586  6300	 242227  6240	 251737  6455	 295645  9031	 296995  9058	 276918  7199	 242902  6250
1024	 370966 12047	 326978 10566	 323196 10363	 333870 10973	 395873 14069	 397400 14142	 370212 12011	 323962 10406
