# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   7157    10	   6983    10	   6973    10	   6983    11	   3521     6	   3560     8	   7149     9	   6982    10
24  	   5010     7	   4658     7	   4588    12	   4755     8	   5156     8	   5187     8	   4988    11	   4618     8
32  	   6556     9	   6069     9	   6000    13	   6165    10	   6785    12	   6816    12	   6527    14	   6028     9
48  	  16779    15	  14278    18	  14875    16	  15901    16	  16141    15	  16264    16	  17019    15	  14763    15
64  	  31847    21	  26137    20	  27613    21	  29786    23	  29321    20	  29530    22	  32444    22	  27330    21
96  	  70452    32	  56200    31	  59440    29	  63903    32	  62031    30	  62418    29	  71751    29	  58800    31
128 	 120333    39	  94728    39	  99731    37	 106487    42	 103202    39	 103766    40	 122341    41	  98740    40
192 	 253944    57	 197175    54	 205703    56	 217041    56	 210939    56	 211855    56	 257362    61	 204008    56
256 	 432671    73	 333475    74	 345534    74	 361458    73	 352532    72	 353793    72	 437500    76	 343128    74
384 	 925486   109	 707649   103	 726749   103	 751847   106	 737277   109	 739245   109	 933145   114	 722942   101
512 	1598782   143	1217244   140	1243402   131	1277661   140	1257453   140	1260121   139	1609256   145	1238182   144
768 	3486845   209	2642682   197	2682953   200	2735551   199	2704053   202	2708139   198	3502950   212	2674894   197
1024	6096768   277	4609774   260	4664148   265	4735081   261	4692324   262	4697807   267	6118546   276	4653299   273
