# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3003   447	   2828   447	   2819   448	   2830   447	   3195   255	   3227   255	   2995   447	   2830   447
24  	   4980   465	   4623   454	   4557   454	   4723   455	   4992   445	   5026   445	   4958   466	   4580   454
32  	   7201   390	   6637   383	   6520   380	   6829   391	   7561   467	   7615   474	   7168   389	   6552   380
48  	  11223   556	  10305   543	  10162   534	  10545   565	  12059   696	  12122   708	  11185   554	  10199   535
64  	  16825   716	  15421   686	  15181   671	  15833   719	  18666   883	  18766   892	  16769   713	  15238   674
96  	  27159   569	  24780   500	  24435   493	  25382   515	  30899   715	  31039   724	  27081   567	  24513   495
128 	  39745  1148	  36307  1077	  35820  1044	  37165  1143	  45955  1501	  46151  1515	  39639  1140	  35926  1049
192 	  65123  1257	  59360  1047	  58645  1019	  60637  1097	  76655  1436	  76948  1448	  64972  1252	  58795  1026
256 	  93655  1567	  85367  1313	  84347  1273	  87183  1392	 111507  1949	 111919  1960	  93441  1559	  84561  1280
384 	 152625  2565	 138974  2056	 137481  2004	 141642  2156	 183997  2908	 184598  2929	 152319  2555	 137791  2009
512 	 216744  2324	 197401  1729	 195354  1684	 201065  1819	 263247  3049	 264066  3061	 216326  2312	 195770  1696
768 	 350177  5285	 318766  4288	 315763  4165	 324145  4512	 429595  5934	 430794  5979	 349569  5259	 316373  4190
1024	 493812  4252	 449483  2651	 445364  2625	 456885  2702	 608881  5101	 610526  5111	 492980  4248	 446200  2623
