# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1872     2	   1524     8	   1520     2	   1696     2	   2918     7	   2949     7	   1860     7	   1524     7
24  	   4359     8	   3882    11	   3842     6	   4282    11	   4151     8	   4184     8	   4338     6	   3863     8
32  	   5635     8	   4988    11	   4940    12	   5468    12	   5386     9	   5418     9	   5612    11	   4969     8
48  	  11366    14	  10455    13	  10330    12	  11387    13	  11533    14	  11608    15	  11323    13	  10374    13
64  	  14715    14	  13451    14	  13328    15	  14561    15	  14969    16	  15048    15	  14673    15	  13370    15
96  	  27717    20	  25925    19	  25635    19	  27926    19	  29161    21	  29326    20	  27626    20	  25723    21
128 	  36000    22	  33504    22	  33217    21	  35859    22	  37975    23	  38140    23	  35910    23	  33306    23
192 	  65132    30	  61579    30	  60950    30	  65706    30	  70191    31	  70533    30	  64953    32	  61125    30
256 	  84872    36	  79913    36	  79284    33	  84745    36	  91698    38	  92039    39	  84697    33	  79460    33
384 	 149435    45	 142365    46	 141038    46	 150730    46	 163843    48	 164536    51	 149082    48	 141392    44
512 	 195263    51	 185377    53	 184053    48	 195152    51	 214607    55	 215298    56	 194913    51	 184406    48
768 	 337036    69	 322925    69	 320203    68	 339758    72	 374351    74	 375751    72	 336333    71	 320906    66
1024	 441389    77	 421646    79	 418925    77	 441302    80	 491386    80	 492789    83	 440688    77	 419633    78
