# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6085   738	   5089   617	   5078   618	   5254   617	   5191   503	   5223   503	   6075   738	   5089   617
24  	   9545   922	   8373   797	   8305   795	   8779   821	   9202   897	   9239   900	   9522   924	   8327   794
32  	  13624  1016	  12054   843	  11957   838	  12629   849	  13422  1007	  13472  1013	  13594  1017	  11988   837
48  	  22292  1377	  19984  1197	  19815  1193	  20907  1218	  22602  1499	  22683  1508	  22248  1382	  19858  1192
64  	  31474  1679	  28442  1487	  28183  1470	  29700  1498	  32505  1960	  32617  1970	  31416  1683	  28242  1470
96  	  51087  2102	  46520  1885	  46126  1907	  48464  1935	  53704  2487	  53875  2496	  51001  2103	  46214  1906
128 	  71794  2729	  65745  2534	  65255  2529	  68431  2569	  76370  3342	  76598  3355	  71679  2729	  65373  2530
192 	 115157  3672	 106116  3425	 105307  3287	 110157  3321	 124363  4703	 124715  4716	 114985  3674	 105482  3288
256 	 160920  4896	 148870  4651	 147822  4737	 154338  4761	 175372  6174	 175841  6187	 160688  4900	 148053  4736
384 	 256580  6756	 238589  6500	 237010  6605	 246870  6641	 282959  8655	 283668  8666	 256234  6757	 237359  6610
512 	 356738  8712	 332717  8440	 330643  8355	 343838  8387	 396306 11452	 397254 11472	 356287  8725	 331113  8354
768 	 567147 13714	 531177 13409	 527987 13596	 547886 13623	 636180 17886	 637618 17903	 566455 13718	 528690 13596
1024	 785672 17969	 737740 17677	 733552 17437	 760114 17462	 886577 24189	 888485 24198	 784762 17979	 734484 17435
