# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3911   498	   3902   499	   3891   499	   3902   499	   4163   343	   4184   342	   3901   499	   3901   499
24  	   6373   565	   6399   565	   6302   563	   6491   576	   7231   637	   7254   640	   6351   566	   6325   563
32  	   9144   710	   9189   708	   9045   714	   9327   712	  10704   788	  10735   792	   9114   712	   9074   713
48  	  15144   879	  15235   879	  14985   878	  15482   891	  18470  1108	  18515  1115	  15101   880	  15030   877
64  	  21492  1018	  21625  1016	  21277  1020	  21973  1026	  26793  1318	  26852  1324	  21435  1020	  21335  1018
96  	  34963  1404	  35183  1403	  34630  1404	  35746  1419	  44805  1973	  44892  1980	  34878  1408	  34716  1403
128 	  49189  1733	  49497  1731	  48737  1732	  50272  1741	  63995  2513	  64113  2518	  49075  1734	  48851  1733
192 	  79197  2351	  79680  2352	  78512  2353	  80873  2366	 105070  3610	 105243  3618	  79028  2353	  78688  2351
256 	 110943  3063	 111604  3062	 110021  3066	 113220  3076	 149036  4809	 149270  4815	 110716  3066	 110255  3066
384 	 177173  4131	 178182  4127	 175781  4132	 180644  4144	 241239  6875	 241592  6885	 176832  4133	 176130  4129
512 	 247269  5778	 248627  5773	 245400  5780	 251941  5786	 339933  9566	 340404  9573	 246811  5780	 245865  5778
768 	 392607  8127	 394669  8132	 389796  8126	 399669  8152	 546294 14373	 547000 14388	 391931  8131	 390501  8128
1024	 544989 11608	 547749 11610	 541241 11603	 554420 11631	 763944 20863	 764886 20885	 544064 11610	 542156 11601
