# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1376     2	   1363     6	   1347     7	   1363     6	   2576     4	   2598     7	   1363     6	   1363     6
24  	   3193    10	   3217     5	   3127     8	   3289    10	   3633     5	   3655     8	   3169     5	   3144    10
32  	   4075    10	   4098     6	   4008     8	   4172    11	   4691     7	   4713     8	   4050     7	   4027    11
48  	   8207    10	   8293    15	   8051    13	   8528    11	  10056    16	  10101    14	   8163    13	   8095    11
64  	  10499    12	  10588    16	  10343    13	  10820    12	  12965    13	  13009    15	  10456    13	  10387    13
96  	  19790    18	  20010    18	  19458    17	  20549    22	  25252    19	  25337    21	  19699    18	  19546    19
128 	  25432    20	  25652    21	  25101    20	  26191    21	  32657    22	  32744    24	  25341    20	  25188    22
192 	  46092    26	  46579    27	  45412    28	  47738    27	  60367    30	  60543    31	  45918    27	  45588    27
256 	  59495    31	  59979    30	  58813    33	  61139    31	  78349    35	  78526    34	  59318    32	  58987    32
384 	 105022    40	 106036    40	 103635    39	 108427    43	 140086    45	 140442    45	 104669    39	 103984    39
512 	 136056    47	 137069    46	 134666    46	 139463    44	 182401    50	 182753    51	 135705    48	 135020    47
768 	 235542    59	 237611    60	 232741    61	 242469    60	 318534    66	 319240    68	 234834    61	 233441    58
1024	 306074    68	 308137    70	 303272    69	 313004    69	 415851    76	 416553    75	 305365    67	 303975    68
