# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4277   496	   4268   497	   4256   496	   4267   496	   4434   397	   4454   396	   4267   497	   4268   497
24  	   6872   624	   6898   625	   6799   622	   6995   640	   7703   721	   7727   723	   6850   625	   6822   621
32  	   9805   664	   9852   661	   9705   667	   9994   665	  11320   791	  11352   796	   9776   665	   9735   666
48  	  16061   914	  16151   911	  15900   914	  16405   927	  19334  1158	  19378  1163	  16016   916	  15944   913
64  	  22683  1109	  22820  1106	  22462  1108	  23184  1122	  27983  1475	  28045  1480	  22626  1112	  22521  1107
96  	  36802  1382	  37022  1381	  36465  1383	  37595  1398	  46520  1947	  46610  1955	  36717  1386	  36553  1382
128 	  51733  1790	  52039  1792	  51273  1787	  52831  1812	  66410  2678	  66528  2686	  51616  1792	  51392  1787
192 	  82973  2344	  83458  2344	  82275  2344	  84684  2366	 108718  3836	 108894  3845	  82801  2346	  82453  2342
256 	 115939  3179	 116600  3180	 115006  3184	 118254  3199	 153672  5060	 153909  5071	 115711  3186	 115242  3183
384 	 184845  4385	 185855  4384	 183438  4382	 188379  4400	 248821  7168	 249180  7174	 184505  4382	 183786  4380
512 	 256993  5570	 258359  5567	 255104  5572	 261735  5592	 349074  9655	 349553  9666	 256541  5576	 255576  5566
768 	 408406  8826	 410471  8824	 405562  8828	 415589  8840	 561635 14824	 562333 14836	 407706  8830	 406251  8824
1024	 565642 11380	 568411 11380	 561859 11377	 575250 11397	 783750 20497	 784703 20503	 564739 11380	 562793 11378
